dashboard_id,dataset_name,dataset_id
810ff31f-d058-4bf1-816d-34fc8c5e40f7,executive-pbi-masked,8aa14013-43fd-40ae-a2b8-aaecf125fd91
810ff31f-d058-4bf1-816d-34fc8c5e40f7,lostspend-advertising-masked,8480078e-ce7b-467c-813b-cc9e9d531129
174ebe47-6b1b-47dd-a251-5bb5903802d3,datebrowser_monthly_masked_kos,24c5f1cb-0c8b-421f-824a-2a8509286bd6
174ebe47-6b1b-47dd-a251-5bb5903802d3,datebrowsercampaignmonthly_masked_kos,9935f956-965c-4b96-ac3c-750b4d998c32
c124cc86-55ae-4075-ab4b-887d18cae5ba,datebrowser_weekly_masked_kos,b494d646-f4c1-42d4-a18c-27240828d841
c124cc86-55ae-4075-ab4b-887d18cae5ba,datebrowsercampaign_weekly_masked_kos,54aef3b1-7970-45c5-b298-593b6861e0d2
1570e836-2cc9-4d71-b366-83bd23d55d06,datebrowser_daily_masked_kos,d214f3d2-2082-4721-a9e7-d1f864000d9a
1570e836-2cc9-4d71-b366-83bd23d55d06,datebrowsercampaigndaily_masked_kos,856e8049-3492-4ea7-85a4-6879a7088bd5
7610db64-d565-4229-a2ad-75b7c9ffa030,datebrowser_daily_masked_kos,d214f3d2-2082-4721-a9e7-d1f864000d9a
7610db64-d565-4229-a2ad-75b7c9ffa030,datebrowsercampaigndaily_masked_kos,856e8049-3492-4ea7-85a4-6879a7088bd5
5d9b8319-616d-412e-9f5e-422aa9259f72,date browser yearly_masked_kos,9913dae4-36f8-4db2-9db4-c36301cb7423
5d9b8319-616d-412e-9f5e-422aa9259f72,date browser campaign yearly_masked_kos,63ecbe20-c9b2-401e-a17b-ffc2db2169e3
6d2fe752-57ee-4aa5-9165-bb9aed077885,lostspend-targeting-masked,a1b4ca5a-dc22-4709-968a-3c3a8217bb53
6d2fe752-57ee-4aa5-9165-bb9aed077885,lostspend-advertising-masked,8480078e-ce7b-467c-813b-cc9e9d531129
c5e00205-8649-48f5-9615-40852b39efcc,returnmasked,dc974653-4bc6-4f96-996e-e988c4a459bb
47ff1963-2098-401f-8389-870825a0ccfb,amazonads_productwise_pivot,bccd4b64-fd90-49e9-ba5b-3d7c53d1f531
47ff1963-2098-401f-8389-870825a0ccfb,amazonads_tacos,f47ef371-7618-40ac-9967-dba7d0553a9f
47ff1963-2098-401f-8389-870825a0ccfb,amazonads_campaignwise_pivot,607e3ec5-ac7e-4a2d-95b0-13f91933cb29
47ff1963-2098-401f-8389-870825a0ccfb,amazonads_advertising_masked,7d003e3c-61a6-493a-b1a5-eadd9584215f
47ff1963-2098-401f-8389-870825a0ccfb,amazonads_targeting_masked,297cbc05-485c-4b37-bf4a-b6c2975b19f6
40dd89d2-b0ff-49ee-b25d-6b8e2be78ee3,facebookads_campaignwise_pivot_cumul_masked,862951de-6869-4c5c-89cd-3c4e168e6f30
40dd89d2-b0ff-49ee-b25d-6b8e2be78ee3,facebookads_advertising_masked,f9408566-03ab-44f5-881f-09f5491cbb7c
17eb97f1-1a05-48f7-8867-9b6e12849564,googleads_campaignwise_pivot_cumul_masked,c13ca0ba-9659-4b08-9ceb-33b60186e1b7
17eb97f1-1a05-48f7-8867-9b6e12849564,dev_ekos_excel - googleads - targeting - masked,42d89038-d109-4186-818f-e41fba482074
