project_id,dataset_id,table_id,creation_time,type,full_table_id
insightsprod,kbrands_3425_prod_presentation,date_browser_campaign_daily,1713510639984,2,insightsprod:kbrands_3425_prod_presentation.date_browser_campaign_daily
insightsprod,kbrands_3425_prod_presentation,date_browser_campaign_monthly,1713510640165,2,insightsprod:kbrands_3425_prod_presentation.date_browser_campaign_monthly
insightsprod,kbrands_3425_prod_presentation,date_browser_campaign_pbi,1713510599121,2,insightsprod:kbrands_3425_prod_presentation.date_browser_campaign_pbi
insightsprod,kbrands_3425_prod_presentation,date_browser_campaign_weekly,1713510641423,2,insightsprod:kbrands_3425_prod_presentation.date_browser_campaign_weekly
insightsprod,kbrands_3425_prod_presentation,date_browser_campaign_yearly,1713510641753,2,insightsprod:kbrands_3425_prod_presentation.date_browser_campaign_yearly
insightsprod,kbrands_3425_prod_presentation,date_browser_daily,1713510665405,1,insightsprod:kbrands_3425_prod_presentation.date_browser_daily
insightsprod,kbrands_3425_prod_presentation,date_browser_monthly,1713510604642,1,insightsprod:kbrands_3425_prod_presentation.date_browser_monthly
insightsprod,kbrands_3425_prod_presentation,date_browser_pbi,1713510659141,2,insightsprod:kbrands_3425_prod_presentation.date_browser_pbi
insightsprod,kbrands_3425_prod_presentation,date_browser_weekly,1713510607856,1,insightsprod:kbrands_3425_prod_presentation.date_browser_weekly
insightsprod,kbrands_3425_prod_presentation,date_browser_yearly,1713510607083,1,insightsprod:kbrands_3425_prod_presentation.date_browser_yearly
insightsprod,kbrands_3425_prod_presentation,elastic_charts_pbi,1713510660789,2,insightsprod:kbrands_3425_prod_presentation.elastic_charts_pbi
insightsprod,kbrands_3425_prod_presentation,financial_overview_pbi,1713510665543,2,insightsprod:kbrands_3425_prod_presentation.financial_overview_pbi
insightsprod,kbrands_3425_prod_presentation,inventory,1713510608907,1,insightsprod:kbrands_3425_prod_presentation.inventory
insightsprod,kbrands_3425_prod_presentation,inventory_insights,1713510608815,2,insightsprod:kbrands_3425_prod_presentation.inventory_insights
insightsprod,kbrands_3425_prod_presentation,inventory_insights_amazon,1710579888681,1,insightsprod:kbrands_3425_prod_presentation.inventory_insights_amazon
insightsprod,kbrands_3425_prod_presentation,investor_ready_adchannel_PBI,1713510610049,2,insightsprod:kbrands_3425_prod_presentation.investor_ready_adchannel_PBI
insightsprod,kbrands_3425_prod_presentation,investor_ready_geo_PBI,1713510610827,2,insightsprod:kbrands_3425_prod_presentation.investor_ready_geo_PBI
insightsprod,kbrands_3425_prod_presentation,market_basket_analysis,1713510618721,1,insightsprod:kbrands_3425_prod_presentation.market_basket_analysis
insightsprod,kbrands_3425_prod_presentation,marketing_deepdive,1713510615000,1,insightsprod:kbrands_3425_prod_presentation.marketing_deepdive
insightsprod,kbrands_3425_prod_presentation,marketing_overview,1713510614648,1,insightsprod:kbrands_3425_prod_presentation.marketing_overview
insightsprod,kbrands_3425_prod_presentation,product_insights,1713510615400,1,insightsprod:kbrands_3425_prod_presentation.product_insights
insightsprod,kbrands_3425_prod_presentation,profit_and_loss,1713510626587,1,insightsprod:kbrands_3425_prod_presentation.profit_and_loss
insightsprod,kbrands_3425_prod_presentation,sales_change_analysis,1713510671836,1,insightsprod:kbrands_3425_prod_presentation.sales_change_analysis
insightsprod,kbrands_3425_prod_presentation,sales_channel_analysis,1713510627383,1,insightsprod:kbrands_3425_prod_presentation.sales_channel_analysis
insightsprod,kbrands_3425_prod_presentation,sales_deepdive,1713510629070,1,insightsprod:kbrands_3425_prod_presentation.sales_deepdive
insightsprod,kbrands_3425_prod_presentation,sales_overview,1713510632128,1,insightsprod:kbrands_3425_prod_presentation.sales_overview
insightsprod,kbrands_3425_prod_presentation,traffic_analysis,1713510638050,1,insightsprod:kbrands_3425_prod_presentation.traffic_analysis
