,dashboard_id,dataset_name,dataset_id
0,95d759ce-4a16-487a-8d1a-31a6e00eb2ca,kbrands_3425_prod_presentation - Returns_PBI,cf841e46-1ce0-4dc3-93a6-a1030d149a45
1,26920676-f0e2-4ee3-b860-540ea5883c29,kbrands_3425_prod_presentation - date_browser_campaign_yearly,a260281a-85d4-4291-82e5-372e6762ff44
2,26920676-f0e2-4ee3-b860-540ea5883c29,kbrands_3425_prod_presentation - date_browser_yearly,7bf0ffd8-9d65-44ce-82f1-b6918db992a3
3,750088ed-2f03-4a59-804b-8dd650757dc7,kbrands_3425_prod_presentation - date_browser_monthly,6e68f7ed-9dda-4719-89b4-5700a5b58a8a
4,750088ed-2f03-4a59-804b-8dd650757dc7,kbrands_3425_prod_presentation - date_browser_campaign_monthly,bf7ae016-b66a-4aac-a6fe-cf6567e5d57a
5,d475f5d2-a9c8-4614-a372-5838e70bd9d7,kbrands_3425_prod_presentation - date_browser_campaign_daily,0b12bf49-f7f5-4acc-99d6-bf1d6b4af6fe
6,d475f5d2-a9c8-4614-a372-5838e70bd9d7,kbrands_3425_prod_presentation - date_browser_daily,ecb962f1-80a4-46ce-bf6c-881ec3a23805
7,3952fb94-4987-481d-aa90-7a6c5a9fc0f6,kbrands_3425_prod_presentation - AmazonAds_campaignwise_pivot_cumul,1ea45647-17d2-4a39-82eb-989fef415889
8,3952fb94-4987-481d-aa90-7a6c5a9fc0f6,kbrands_3425_prod_presentation - AmazonAds_productwise_pivot_cumul,6b0fcc7a-1f5c-48ee-8260-2dae39e9d5eb
9,3952fb94-4987-481d-aa90-7a6c5a9fc0f6,kbrands_3425_prod_presentation - AmazonAds_tacos,c16946ea-eef8-46e2-ad94-2407686f92d8
10,3952fb94-4987-481d-aa90-7a6c5a9fc0f6,kbrands_3425_prod_presentation - AmazonAds_Targeting_pbi,58dd45eb-334d-4a57-828b-7b73ff7e1834
11,3952fb94-4987-481d-aa90-7a6c5a9fc0f6,kbrands_3425_prod_presentation - AmazonAds_Advertising_pbi,c4475fa8-893c-4d8a-9fc8-10e8cf2ba500
12,eae49ac5-ca42-472a-b245-dc2fd087f602,kbrands_3425_prod_presentation - date_browser_campaign_daily,0b12bf49-f7f5-4acc-99d6-bf1d6b4af6fe
13,eae49ac5-ca42-472a-b245-dc2fd087f602,kbrands_3425_prod_presentation - date_browser_daily,ecb962f1-80a4-46ce-bf6c-881ec3a23805
14,f07bda3b-6912-4fb7-bbd4-da259f4adcd4,kbrands_3425_prod_presentation - date_browser_weekly,28d07352-9bfc-4ebd-8bdf-cc1947f95e6a
15,f07bda3b-6912-4fb7-bbd4-da259f4adcd4,kbrands_3425_prod_presentation - date_browser_campaign_weekly,9251f31f-4b70-4eae-84ed-e0b6174a7d20
16,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - amazon_account_overview_customer_rfm_cumul,95ee80fc-db3c-4aa4-858c-cd307b25abeb
17,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - Amazon_account_overview_customer_section_cumul,b7a4d8ad-8639-4480-ba6e-516a03085bbf
18,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - amazon_account_overview_sales_marketing_profit,a6ee9413-755f-4674-9a3e-efcde9831f43
19,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - Amazon_account_overview_sales,7042b6d1-321a-4820-8815-d32f0158e6ba
20,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - Amazon_account_overview_listings_cumul,79d1ad28-7cdf-466a-b046-a7f4449b6396
21,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - amazon_account_overview_product_cumul,90a4ef94-11f4-4a07-a30e-b3d206bd3fc4
22,78c06ee8-4aa0-4868-86cb-92d9f63fe06e,kbrands_3425_prod_presentation - Amazon_account_overview_feedback,406b16a5-245d-4f84-9de1-4450858a5d0f
23,6604bbe3-8e3b-479d-b3ca-d043e036b731,kbrands_3425_prod_presentation - customer_rfm_segments_cumul,739fd92d-06ba-44ec-87e6-36ad1816034e
24,6604bbe3-8e3b-479d-b3ca-d043e036b731,kbrands_3425_prod_presentation - customer_glance_cltv_cumul,28dc22ba-86a9-46fd-91b4-d6704a327bd3
25,6604bbe3-8e3b-479d-b3ca-d043e036b731,kbrands_3425_prod_presentation - customer_glance_pbi,d9ff0b1a-c003-459c-ac83-ab3c36c39500
26,6604bbe3-8e3b-479d-b3ca-d043e036b731,kbrands_3425_prod_presentation - customer_cohortwise_pivot_cumul,78933a73-ee38-408f-ab80-bdac80f2ee45
27,6604bbe3-8e3b-479d-b3ca-d043e036b731,kbrands_3425_prod_presentation - customer_glance_customer_metrics_pbi,7484dcb3-0cf6-48c2-882e-c5917ae6be0a
