dashboard_id,dataset_names,dashboard_name,dashboard_type,dashboard_rank,mandatory_src,optional_src,dataset_dict
d53d02ca-a1d5-4161-8140-acfcc9b320cf,"['Shopify_Account_Overview_Sales', 'shopify_account_overview_customer_cumul', 'shopify_account_overview_product_cumul', 'Shopify_Account_Overview_Sales_Marketing_Profits', 'shopify_account_overview_customer_rfm_cumul']",Account Overview Shopify,SALES_ACCOUNT_OVERVIEW_SHOPIFY,5,['SHOPIFYV2'],"['GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'Shopify_Account_Overview_Sales': '6b1fb25a-9e46-4722-be52-803ba37a947e', 'shopify_account_overview_customer_cumul': '5660f5ea-87f4-4aa8-983b-012622951a17', 'shopify_account_overview_product_cumul': '69c82aa4-73c7-4608-aa8e-ce331e18dc4e', 'Shopify_Account_Overview_Sales_Marketing_Profits': '3e530a07-e165-44ff-9b23-be030360b8cb', 'shopify_account_overview_customer_rfm_cumul': '4d2638ec-965c-4119-a680-a0248b37560d'}"
15f7c7bc-2007-4a6e-b1f0-40105990c5fb,['Executive_Dashboard_cumul'],Executive Snapshot,SALES_EXECUTIVE_SNAPSHOT,2,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Executive_Dashboard_cumul': '16082f67-6a67-4731-80f0-56d3c54d6c0b'}
237e7ae2-0725-455d-b8ef-c2ad84f8d27f,['Vendor_dashboards_final_for_PBI_and_Cumul'],Vendor Central,OPERATIONS_VENDOR_CENTRAL,6,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Vendor_dashboards_final_for_PBI_and_Cumul': '4ac2fe6f-8a0f-44f9-9e56-341947869417'}
a0a3fa1d-90d3-4867-aac4-2538ea068ce1,['Listings_PBI'],Amazon Listings Performance,OPERATIONS_AMAZON_LISTINGS,5,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Listings_PBI': 'e93bd386-6acf-4580-9243-d55db7561b7e'}
22d33a17-e735-4bc2-9ae3-78f321eac383,['Executive_Dashboard_pbi'],Channel Comparison,SALES_CHANNEL_COMPARISON,1,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Executive_Dashboard_pbi': 'c5137faa-2ba4-4af8-8784-c2eb693d1623'}
ae74ac36-0b21-4b1c-a8b2-ea06c266d78f,"['customer_rfm_segments_cumul', 'customer_glance_customer_metrics_pbi', 'customer_glance_pbi', 'customer_glance_cltv_cumul', 'customer_cohortwise_pivot_cumul']",Customer,CUSTOMER_OVERVIEW,1,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'customer_rfm_segments_cumul': 'd9e35bf0-9055-4a28-9d64-3638cf9f7ef0', 'customer_glance_customer_metrics_pbi': 'a5020c43-64ec-46ec-ac46-985e52f4fa27', 'customer_glance_pbi': '09fe41b3-1f22-4677-88c5-dfd759c5cf2d', 'customer_glance_cltv_cumul': 'c5d4f54c-df52-4e09-8a71-13429210824e', 'customer_cohortwise_pivot_cumul': '714d7ce0-2f11-494b-89b9-f4b49808c148'}"
b5f959f0-6391-4d9e-ab8b-3fd57b19b807,"['date_browser_monthly', 'date_browser_campaign_monthly']",DateBrowser Monthly,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_MONTHLY,9,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'date_browser_monthly': '7c8467af-17fb-400a-a6bf-fb8610a46301', 'date_browser_campaign_monthly': '4d159133-7904-4183-b514-1e813c6c85d1'}"
518168eb-75fa-4eb9-b237-424111f45820,"['date_browser_daily', 'date_browser_campaign_daily']",DateBrowser Custom,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_CUSTOM,6,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'date_browser_daily': '2c4e5bfb-2f46-4d1a-8dbb-1aa288921b93', 'date_browser_campaign_daily': '6de2f4b9-ac70-4640-b3a7-3f0cc11a34c9'}"
bbc67b64-3dc5-49d9-a7e5-4170f97d667d,['financial_overview_pbi'],Finance Overview,FINANCE_OVERVIEW,1,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'financial_overview_pbi': '8374096e-8e80-406c-9ea0-9c1a0e1835e9'}
072d9c1d-5417-4222-bb3f-c2776dece00d,"['date_browser_yearly', 'date_browser_campaign_yearly']",DateBrowser Yearly,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_YEARLY,10,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'date_browser_yearly': 'b39ed2bf-6269-42ba-bd4a-f0b189a9305f', 'date_browser_campaign_yearly': '1ad2a54a-1ab0-4d3c-baab-e1187a539a2b'}"
4c99f3fb-31ed-4444-a4d9-1df7e1de1685,"['date_browser_campaign_weekly', 'date_browser_weekly']",DateBrowser Weekly,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_WEEKLY,8,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'date_browser_campaign_weekly': 'b9d156f1-4b5a-423e-a32c-aa833e1b69fa', 'date_browser_weekly': 'caa62a5f-32c5-4073-a46e-743503628b18'}"
0fa717a1-70a8-4c2d-b242-4a615cc192c5,"['date_browser_daily', 'date_browser_campaign_daily']",DateBrowser Daily,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_DAILY,7,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'date_browser_daily': '2c4e5bfb-2f46-4d1a-8dbb-1aa288921b93', 'date_browser_campaign_daily': '6de2f4b9-ac70-4640-b3a7-3f0cc11a34c9'}"
bf2f733e-3d78-4b48-9010-b76c30f246d6,"['AMC_Audience_Segment', 'AMC_SPA_Overlap', 'AMC_Branded_Searches', 'AMC_DSP_SPA_Overlap', 'AMC_Geography', 'AMC_Path_To_Conversion', 'AMC_DevicePath_To_Conversion', 'AMC_SupplySource', 'AMC_Asin_Overlap']",AMC,ADVANCED_MARKETING_ANALYTICS_AMC,3,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'AMC_Audience_Segment': 'ac9a7e25-333c-4577-90bd-e1316c267610', 'AMC_SPA_Overlap': '49497b86-9688-48f0-9b83-1fbdac814f55', 'AMC_Branded_Searches': '1a8fb22c-5160-4514-81cd-48dbba31689b', 'AMC_DSP_SPA_Overlap': '7642f4ed-1b04-4283-9675-8aa814979535', 'AMC_Geography': '7d78266c-44ea-449c-87d7-d56ae31cd9b2', 'AMC_Path_To_Conversion': '98f4c02b-5b10-4e5f-9de1-a61b10c941be', 'AMC_DevicePath_To_Conversion': 'e831d74a-f11b-4ae5-9bc7-d35c6ad0dd27', 'AMC_SupplySource': 'a8464363-038d-4465-95a5-62779fbfe3cf', 'AMC_ASIN_Overlap': 'd1ce50f5-135f-4720-b220-785fd1ff8f02'}"
6309e242-faeb-4268-a5d9-cc4eee0a9a74,['Executive_Dashboard_pbi'],Executive Trends,SALES_EXECUTIVE_TRENDS,3,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']",{'Executive_Dashboard_pbi': 'c5137faa-2ba4-4af8-8784-c2eb693d1623'}
fdfad652-df5b-4a40-b8b3-2e1584e39d89,"['Product_PBI', 'Product_Affinity_Cumul']",Product,PRODUCT_OVERVIEW,1,"['AMAZONSELLER','SHOPIFYV2']","['AMAZONSBADS','AMAZONSDADS','AMAZONSPADS','GOOGLEADS','FACEBOOK','BINGADS','GA4','KLAVIYO3','GSS']","{'Product_PBI': '2149c6ab-4abf-42f8-82d5-5a7627bfefe1', 'Product_Affinity_Cumul': '227f18ef-4836-40f5-8b68-eff4cef4e035'}"
